-2.10,-16.34,0.0
-12.21,49.75,0.0
495.72,224.67,0.0
525.72,-26.20,0.0
0.00,0.00,0.0
-2.17,17.03,0.0
-5.77,33.83,0.0
3.09,45.77,0.0
7.23,28.73,0.0
10.12,11.41,0.0
11.74,-6.10,0.0
23.35,-12.54,0.0
22.25,5.35,0.0
19.90,23.13,0.0
16.14,40.66,0.0
24.61,52.83,0.0
29.11,35.14,0.0
32.24,17.09,0.0
34.14,-1.10,0.0
45.78,-7.96,0.0
44.40,10.62,0.0
41.80,29.17,0.0
37.83,47.35,0.0
44.66,59.36,0.0
50.86,41.46,0.0
54.19,22.78,0.0
56.49,3.83,0.0
57.22,-15.22,0.0
68.30,-3.40,0.0
66.65,16.00,0.0
63.69,35.10,0.0
59.45,54.04,0.0
67.78,66.91,0.0
72.70,47.76,0.0
76.38,28.36,0.0
78.84,8.84,0.0
80.01,-11.03,0.0
90.77,1.26,0.0
88.71,21.14,0.0
85.66,41.07,0.0
81.16,60.71,0.0
89.26,73.90,0.0
94.41,54.11,0.0
98.39,33.95,0.0
101.08,13.66,0.0
102.34,-6.76,0.0
114.15,-15.02,0.0
113.18,5.69,0.0
110.88,26.43,0.0
107.61,47.08,0.0
102.87,67.37,0.0
109.13,80.28,0.0
116.32,60.47,0.0
120.52,39.61,0.0
123.36,18.56,0.0
124.98,-2.62,0.0
136.65,-11.38,0.0
135.42,10.24,0.0
133.16,31.71,0.0
129.49,53.04,0.0
124.58,74.06,0.0
132.43,87.96,0.0
138.12,66.74,0.0
142.32,45.20,0.0
145.64,23.45,0.0
147.51,1.55,0.0
159.22,-7.51,0.0
157.94,14.81,0.0
155.22,36.98,0.0
151.44,58.99,0.0
146.34,80.79,0.0
154.04,94.99,0.0
159.86,73.05,0.0
164.41,50.81,0.0
167.85,28.35,0.0
169.86,5.73,0.0
197.52,-2.33,0.0
196.28,17.82,0.0
193.97,37.83,0.0
190.87,57.75,0.0
186.82,77.53,0.0
181.75,97.01,0.0
198.32,113.17,0.0
203.75,93.25,0.0
208.51,73.17,0.0
212.10,52.81,0.0
215.26,32.36,0.0
217.17,11.84,0.0
218.02,-8.81,0.0
238.41,-15.79,0.0
238.02,5.34,0.0
236.38,26.42,0.0
233.84,47.43,0.0
230.43,68.34,0.0
225.84,88.95,0.0
218.73,108.88,0.0
236.94,126.06,0.0
243.07,105.29,0.0
246.00,83.56,0.0
252.15,62.94,0.0
255.25,41.47,0.0
257.49,19.99,0.0
258.57,-1.63,0.0
279.45,-9.08,0.0
278.54,13.02,0.0
276.73,35.15,0.0
273.84,57.08,0.0
269.96,78.89,0.0
265.11,100.47,0.0
259.44,121.89,0.0
273.79,138.31,0.0
282.11,117.28,0.0
287.29,95.19,0.0
291.73,73.02,0.0
295.29,50.62,0.0
297.65,28.09,0.0
299.37,5.55,0.0
299.83,-17.10,0.0
320.13,-2.40,0.0
318.82,20.66,0.0
316.78,43.74,0.0
313.51,66.63,0.0
307.52,88.81,0.0
304.06,111.95,0.0
298.35,134.35,0.0
314.48,151.95,0.0
320.97,129.18,0.0
324.94,105.89,0.0
331.35,83.06,0.0
335.35,59.75,0.0
337.99,36.24,0.0
339.80,12.70,0.0
340.49,-10.96,0.0
371.09,-15.82,0.0
370.63,3.61,0.0
369.67,23.07,0.0
368.05,42.50,0.0
365.59,61.79,0.0
362.66,81.08,0.0
359.19,100.29,0.0
354.84,119.26,0.0
350.08,138.17,0.0
342.88,156.32,0.0
360.71,172.65,0.0
368.27,154.31,0.0
373.71,135.22,0.0
378.14,115.84,0.0
382.30,96.47,0.0
385.63,76.91,0.0
388.48,57.21,0.0
390.45,37.46,0.0
391.98,17.71,0.0
392.72,-2.15,0.0
414.95,-8.16,0.0
414.43,12.09,0.0
413.02,32.18,0.0
411.07,52.24,0.0
408.43,72.29,0.0
405.38,92.30,0.0
401.51,112.14,0.0
397.19,131.89,0.0
391.84,151.36,0.0
386.42,170.82,0.0
394.67,184.42,0.0
410.06,167.85,0.0
415.50,148.03,0.0
420.49,128.07,0.0
424.83,107.99,0.0
428.29,87.70,0.0
431.40,67.37,0.0
433.57,46.89,0.0
435.43,26.47,0.0
436.50,5.93,0.0
436.92,-14.62,0.0
458.69,-0.51,0.0
457.76,20.39,0.0
456.26,41.24,0.0
454.08,62.06,0.0
451.09,82.75,0.0
447.92,103.43,0.0
443.93,123.95,0.0
439.18,144.32,0.0
433.81,164.54,0.0
427.83,184.61,0.0
436.12,198.64,0.0
451.87,181.40,0.0
457.61,160.92,0.0
462.61,140.21,0.0
467.22,119.46,0.0
471.15,98.54,0.0
474.26,77.48,0.0
476.80,56.36,0.0
478.77,35.16,0.0
480.10,13.95,0.0
480.71,-7.35,0.0
502.81,-14.45,0.0
502.27,7.13,0.0
501.31,28.77,0.0
499.58,50.36,0.0
497.26,71.87,0.0
494.23,93.26,0.0
490.57,114.59,0.0
486.29,135.78,0.0
481.22,156.79,0.0
475.62,177.72,0.0
467.87,197.93,0.0
477.67,212.79,0.0
493.68,194.90,0.0
499.52,173.68,0.0
505.06,152.44,0.0
509.75,130.95,0.0
513.80,109.34,0.0
517.28,87.62,0.0
519.94,65.71,0.0
522.18,43.85,0.0
523.57,21.94,0.0
524.47,-0.00,0.0
